,KOSPI,KOSPI 200,KODI,KOSPI 100,KOSPI 50
2004. 01,1.99,1.9,2.26,1.87,1.84
2004. 02,1.99,1.91,2.15,1.89,1.87
2004. 03,1.83,1.75,2.14,1.72,1.68
2004. 04,2.21,2.15,2.82,2.13,2.07
2004. 05,2.39,2.33,3.02,2.31,2.23
2004. 06,2.42,2.36,3.06,2.35,2.31
2004. 07,2.52,2.53,3.4,2.51,2.48
2004. 08,2.33,2.34,3.2,2.33,2.31
2004. 09,2.22,2.24,3.05,2.23,2.22
2004. 10,2.22,2.23,3.08,2.22,2.22
2004. 11,2.1,2.12,2.87,2.12,2.12
2004. 12,2.06,2.02,2.85,2.01,1.99
2005. 01,1.95,1.91,2.76,1.91,1.89
2005. 02,1.79,1.77,2.55,1.78,1.77
2005. 03,1.86,1.86,2.23,1.86,1.86
2005. 04,2.71,2.75,3.47,2.76,2.81
2005. 05,2.54,2.58,3.71,2.6,2.64
2005. 06,2.45,2.49,3.6,2.53,2.57
2005. 07,2.22,2.26,3.34,2.28,2.31
2005. 08,2.27,2.31,3.41,2.34,2.37
2005. 09,2.02,2.06,3.04,2.09,2.13
2005. 10,2.13,2.18,3.21,2.22,2.27
2005. 11,1.89,1.96,2.95,1.99,2.05
2005. 12,1.74,1.8,2.76,1.82,1.87
2006. 01,1.72,1.77,2.76,1.79,1.83
2006. 02,1.72,1.8,2.81,1.82,1.87
2006. 03,1.73,1.81,2.77,1.84,1.89
2006. 04,1.61,1.66,2.56,1.68,1.72
2006. 05,1.73,1.78,2.26,1.81,1.84
2006. 06,1.76,1.76,2.29,1.77,1.78
2006. 07,1.84,1.8,2.38,1.8,1.79
2006. 08,1.76,1.73,2.28,1.73,1.72
2006. 09,1.74,1.7,2.23,1.71,1.71
2006. 10,1.74,1.71,2.29,1.72,1.73
2006. 11,1.66,1.64,2.18,1.65,1.66
2006. 12,1.66,1.63,2.2,1.64,1.65
2007. 01,1.75,1.72,2.3,1.73,1.73
2007. 02,1.68,1.65,2.24,1.66,1.67
2007. 03,1.64,1.61,2.2,1.62,1.64
2007. 04,1.78,1.8,2.06,1.84,1.89
2007. 05,1.61,1.65,1.95,1.7,1.78
2007. 06,1.56,1.62,1.89,1.67,1.73
2007. 07,1.37,1.45,1.69,1.51,1.59
2007. 08,1.41,1.5,1.72,1.56,1.65
2007. 09,1.35,1.41,1.64,1.47,1.55
2007. 10,1.28,1.33,1.59,1.4,1.49
2007. 11,1.38,1.43,1.66,1.5,1.57
2007. 12,1.39,1.43,1.67,1.49,1.56
2008. 01,1.62,1.67,1.8,1.73,1.79
2008. 02,1.54,1.59,1.79,1.66,1.74
2008. 03,1.54,1.58,1.73,1.65,1.73
2008. 04,1.67,1.7,2.04,1.77,1.85
2008. 05,1.64,1.69,2.0,1.75,1.82
2008. 06,1.81,1.86,2.22,1.9,2.01
2008. 07,1.9,1.95,2.32,1.99,2.11
2008. 08,2.12,2.14,2.1,2.18,2.29
2008. 09,2.15,2.17,2.22,2.21,2.32
2008. 10,2.66,2.62,2.58,2.64,2.7
2008. 11,2.71,2.73,3.22,2.77,2.86
2008. 12,2.58,2.62,3.19,2.66,2.77
2009. 01,2.5,2.54,3.18,2.57,2.68
2009. 02,2.73,2.8,3.41,2.84,2.95
2009. 03,2.52332,2.466952,2.667805,2.498888,2.573683
2009. 04,2.23356,2.196619,2.464924,2.230743,2.319061
2009. 05,1.470763,1.448904,1.949556,1.449386,1.453592
2009. 06,1.485434,1.458675,1.918543,1.465853,1.46073
2009. 07,1.32735,1.294354,1.672615,1.294453,1.271035
2009. 08,1.249541,1.228033,1.61433,1.225254,1.23172
2009. 09,1.191597,1.16448,1.823799,1.158012,1.167108
2009. 10,1.257496,1.237368,1.956158,1.230915,1.243437
2009. 11,1.276994,1.254035,1.954858,1.245192,1.263433
2009. 12,1.174519,1.151741,1.809234,1.142939,1.159323
2010. 01,1.228149,1.207358,1.872567,1.195081,1.204757
2010. 02,1.233733,1.216775,1.919216,1.203996,1.217847
2010. 03,1.152971,1.143299,1.825572,1.131499,1.142078
2010. 04,1.3003,1.26116,1.886412,1.255979,1.274595
2010. 05,1.346969,1.342913,2.026839,1.336759,1.368839
2010. 06,1.300611,1.310433,1.991975,1.309986,1.343055
2010. 07,1.307918,1.275488,1.898752,1.27306,1.301279
2010. 08,1.319774,1.284857,1.929011,1.283159,1.331229
2010. 09,1.229421,1.192119,1.72678,1.191229,1.231198
2010. 10,1.221407,1.189533,1.776491,1.192057,1.23007
2010. 11,1.207153,1.164168,1.71921,1.162339,1.193249
2010. 12,1.121249,1.075451,1.560788,1.071589,1.092969
2011. 01,1.108296,1.06372,1.545532,1.062636,1.087281
2011. 02,1.183659,1.138117,1.65118,1.135008,1.155985
2011. 03,1.088584,1.042762,1.552066,1.040347,1.067053
2011. 04,1.251561,1.220278,1.818514,1.225227,1.278126
2011. 05,1.280357,1.249655,1.855031,1.255518,1.317571
2011. 06,1.301738,1.277648,1.904333,1.291697,1.347222
2011. 07,1.312948,1.299703,1.908996,1.31878,1.392879
2011. 08,1.492932,1.483292,2.167836,1.506524,1.605665
2011. 09,1.58888,1.575129,2.216864,1.584951,1.664285
2011. 10,1.470389,1.453091,1.991701,1.461571,1.535752
2011. 11,1.524802,1.508442,2.002182,1.516066,1.590716
2011. 12,1.544703,1.531422,1.992788,1.537756,1.608076
2012. 01,1.438559,1.417577,1.857875,1.422912,1.484698
2012. 02,1.382295,1.363238,1.76029,1.365031,1.421247
2012. 03,1.391735,1.370606,1.760672,1.368035,1.422792
2012. 04,1.358705,1.339189,1.649133,1.326143,1.349174
2012. 05,1.460398,1.445857,1.820505,1.432245,1.468673
2012. 06,1.451547,1.425162,1.821704,1.427273,1.437102
2012. 07,1.424659,1.398797,1.728131,1.396513,1.39577
2012. 08,1.392612,1.368345,1.733771,1.367649,1.398784
2012. 09,1.328552,1.305896,2.90506,1.306196,1.333521
2012. 10,1.389852,1.371117,3.023592,1.370755,1.398649
2012. 11,1.3745,1.351061,3.00653,1.348373,1.373246
2012. 12,1.329736,1.300939,2.936312,1.299148,1.322015
2013. 01,1.352469,1.32814,2.949419,1.326128,1.350158
2013. 02,1.3094,1.280789,2.892512,1.279572,1.29925
2013. 03,1.323595,1.302454,2.995583,1.305127,1.326125
2013. 04,1.206885,1.182545,2.333764,1.185339,1.194117
2013. 05,1.184896,1.161438,2.273461,1.162428,1.167114
2013. 06,1.272773,1.244355,2.43951,1.242736,1.253485
2013. 07,1.211668,1.190283,2.269109,1.189285,1.208554
2013. 08,1.199609,1.171876,2.296882,1.164889,1.174754
2013. 09,1.157729,1.12725,2.463232,1.124134,1.137393
2013. 10,1.134499,1.105955,2.472533,1.101388,1.111128
2013. 11,1.126094,1.098093,2.439221,1.092164,1.096806
2013. 12,1.144532,1.117365,2.461781,1.110847,1.121677
2014. 01,1.185807,1.16373,2.564379,1.160833,1.175723
2014. 02,1.162865,1.141729,2.552997,1.139209,1.152844
2014. 03,1.157744,1.141038,2.504058,1.139832,1.156663
2014. 04,1.115794,1.108823,2.347725,1.109254,1.147083
2014. 05,1.095769,1.090048,2.357508,1.087595,1.124521
2014. 06,1.089956,1.086609,2.296777,1.083244,1.124557
2014. 07,1.051869,1.047174,2.140695,1.04261,1.08357
2014. 08,1.054902,1.057679,2.115634,1.056181,1.10713
2014. 09,1.080415,1.092537,2.099659,1.090104,1.147794
2014. 10,1.127322,1.124907,2.191104,1.119784,1.171607
2014. 11,1.107631,1.127238,2.207778,1.122063,1.172302
2014. 12,1.130287,1.172765,2.351585,1.168205,1.219077
2015. 01,1.108226,1.144557,2.287527,1.145179,1.199033
2015. 02,1.089374,1.135784,2.219167,1.138762,1.197915
2015. 03,1.061729,1.065579,2.230497,1.072097,1.128328
2015. 04,1.017902,1.02452,2.117488,1.033032,1.097218
2015. 05,1.249583,1.277419,2.121203,1.314661,1.392508
2015. 06,1.281725,1.301215,2.137382,1.359531,1.435867
2015. 07,1.303556,1.335837,2.181625,1.398434,1.481658
2015. 08,1.359084,1.39174,2.201845,1.455672,1.555919
2015. 09,1.334177,1.358819,1.971371,1.421472,1.49461
2015. 10,1.283764,1.301573,1.930035,1.351668,1.408191
2015. 11,1.307159,1.325727,1.974688,1.381654,1.436511
2015. 12,1.327392,1.346522,1.966237,1.40425,1.458454
2016. 01,1.362412,1.384212,0.0,1.451449,1.516206
2016. 02,1.356266,1.37219,0.0,1.430957,1.483673
2016. 03,1.301857,1.317633,0.0,1.370638,1.417359
2016. 04,1.281453,1.320734,0.0,1.373753,1.430005
2016. 05,1.681593,1.763162,0.0,1.836377,1.925775
2016. 06,1.691185,1.741583,0.0,1.809616,1.890311
2016. 07,1.652318,1.700502,0.0,1.760955,1.838491
2016. 08,1.636869,1.673494,0.0,1.725535,1.792045
2016. 09,1.629857,1.667741,0.0,1.721611,1.786631
2016. 10,1.56111,1.593042,0.0,1.633202,1.68184
2016. 11,1.562833,1.603333,0.0,1.642632,1.683294
2016. 12,1.524459,1.570384,0.0,1.600514,1.639515
2017. 01,1.493067,1.521958,0.0,1.544967,1.576429
2017. 02,1.475521,1.510846,0.0,1.538334,1.580091
2017. 03,1.427175,1.454628,0.0,1.477687,1.510744
2017. 04,1.399563,1.424407,0.0,1.444805,1.476041
2017. 05,1.443337,1.50971,0.0,1.535973,1.593779
2017. 06,1.415802,1.443314,0.0,1.470589,1.51829
2017. 07,1.407735,1.435678,0.0,1.460967,1.507608
2017. 08,1.433038,1.468097,0.0,1.494758,1.5387
2017. 09,1.399565,1.410366,0.0,1.440013,1.463487
